line,time_seconds,command,distance_xy_in,distance_xyz_in,estimated_ipm,bucket,raw
1,0.0,,0.0,0.0,0.0,non_motion,' Sheet 2 CAM Truncated
2,0.0,SA,0.0,0.0,0.0,non_motion,SA
3,0.0,CN,0.0,0.0,0.0,non_motion,"CN, 90"
4,0.0,IF,0.0,0.0,0.0,non_motion,IF %(25)=1 THEN GOTO UNIT_ERROR
5,0.0,&PWMATERIAL,0.0,0.0,0.0,non_motion,&PWMaterial = 0.9449
6,0.0,&PWZORIGIN,0.0,0.0,0.0,non_motion,&PWZorigin = Table Surface
7,0.0,,0.0,0.0,0.0,non_motion,
8,0.0,,0.0,0.0,0.0,non_motion,' 2D Contour1
9,0.0,C7,0.0,0.0,0.0,non_motion,C7
10,0.0,&TOOL,0.0,0.0,0.0,non_motion,&Tool = 2
11,0.0,C9,0.0,0.0,0.0,non_motion,C9
12,0.0,TR,0.0,0.0,0.0,non_motion,"TR, 18000"
13,0.0,C6,0.0,0.0,0.0,non_motion,C6
14,0.0,PAUSE,0.0,0.0,0.0,non_motion,PAUSE 2
15,0.0,JZ,0.0,0.0,0.0,non_motion,"JZ, 1.5449"
16,0.01,J2,0.0,0.0,0.0,non_motion,"J2, 2.0865, 28.3391"
17,0.01,MS,0.0,0.0,0.0,non_motion,"MS, 2.5, 1.8333"
18,0.02,J3,0.0,0.0,0.0,non_motion,"J3, 2.0865, 28.3391, 1.5449"
19,0.03,J3,0.0,0.39849999999999985,2390.999999999999,planned,"J3, 2.0865, 28.3391, 1.1464"
20,0.04,M3,0.000300000000000189,0.01070420478129989,64.22522868779933,acceptable_slow,"M3, 2.0868, 28.3391, 1.1357"
21,0.05,M3,0.0008999999999996788,0.010638138934982857,63.828833609897146,acceptable_slow,"M3, 2.0877, 28.3391, 1.1251"
22,0.06,M3,0.0015000000000000568,0.010705606008068807,64.23363604841283,acceptable_slow,"M3, 2.0892, 28.3391, 1.1145"
23,0.07,M3,0.0020999999999999908,0.010609901036296202,63.6594062177772,acceptable_slow,"M3, 2.0913, 28.3391, 1.1041"
24,0.08,M3,0.0026999999999999247,0.010648004507887809,63.88802704732686,acceptable_slow,"M3, 2.094, 28.3391, 1.0938"
25,0.09,M3,0.0032000000000000917,0.010690182411914441,64.14109447148665,acceptable_slow,"M3, 2.0972, 28.3391, 1.0836"
26,0.1,M3,0.0038000000000000256,0.010697663296252874,64.18597977751725,acceptable_slow,"M3, 2.101, 28.3391, 1.0736"
27,0.11,M3,0.0043999999999999595,0.010651291001564103,63.90774600938462,acceptable_slow,"M3, 2.1054, 28.3391, 1.0639"
28,0.12,M3,0.0047999999999999154,0.010643777524920389,63.86266514952233,acceptable_slow,"M3, 2.1102, 28.3391, 1.0544"
29,0.13,M3,0.00550000000000006,0.010632967600815994,63.79780560489597,acceptable_slow,"M3, 2.1157, 28.3391, 1.0453"
30,0.14,M3,0.005900000000000016,0.010678014796768102,64.06808878060862,acceptable_slow,"M3, 2.1216, 28.3391, 1.0364"
31,0.15,M3,0.006400000000000183,0.01064001879697595,63.840112781855694,acceptable_slow,"M3, 2.128, 28.3391, 1.0279"
32,0.16,M3,0.006899999999999906,0.010640488710580856,63.84293226348513,acceptable_slow,"M3, 2.1349, 28.3391, 1.0198"
33,0.17,M3,0.007299999999999862,0.010683164325236154,64.09898595141692,acceptable_slow,"M3, 2.1422, 28.3391, 1.012"
34,0.18,M3,0.007700000000000262,0.010610372283761077,63.66223370256645,acceptable_slow,"M3, 2.1499, 28.3391, 1.0047"
35,0.19,M3,0.008199999999999985,0.010716809226630772,64.30085535978463,acceptable_slow,"M3, 2.1581, 28.3391, 0.9978"
36,0.2,M3,0.00849999999999973,0.010640018796975705,63.84011278185423,acceptable_slow,"M3, 2.1666, 28.3391, 0.9914"
37,0.21,M3,0.00890000000000013,0.010678014796768226,64.06808878060934,acceptable_slow,"M3, 2.1755, 28.3391, 0.9855"
38,0.22,M3,0.009100000000000108,0.01058158778255904,63.48952669535424,acceptable_slow,"M3, 2.1846, 28.3391, 0.9801"
39,0.23,M3,0.009500000000000064,0.01068924693325032,64.13548159950193,acceptable_slow,"M3, 2.1941, 28.3391, 0.9752"
40,0.24,M3,0.009700000000000042,0.010651291001564103,63.90774600938462,acceptable_slow,"M3, 2.2038, 28.3391, 0.9708"
41,0.25,M3,0.009999999999999787,0.010697663296252874,64.18597977751725,acceptable_slow,"M3, 2.2138, 28.3391, 0.967"
42,0.26,M3,0.010099999999999998,0.010594810050208537,63.56886030125122,acceptable_slow,"M3, 2.2239, 28.3391, 0.9638"
43,0.27,M3,0.010400000000000187,0.01074476616776764,64.46859700660583,acceptable_slow,"M3, 2.2343, 28.3391, 0.9611"
44,0.28,M3,0.010399999999999743,0.010609901036295985,63.65940621777591,acceptable_slow,"M3, 2.2447, 28.3391, 0.959"
45,0.29,M3,0.010600000000000165,0.010692053123699086,64.15231874219451,acceptable_slow,"M3, 2.2553, 28.3391, 0.9576"
46,0.3,M3,0.01059999999999972,0.010638138934982664,63.82883360989598,acceptable_slow,"M3, 2.2659, 28.3391, 0.9567"
47,0.31,M3,0.010600000000000165,0.010604244433244807,63.625466599468844,acceptable_slow,"M3, 2.2765, 28.3391, 0.9564"
48,0.32,M3,0.03750000000000009,0.03750000000000009,225.00000000000054,planned,"M3, 2.314, 28.3391, 0.9564"
49,0.33,CG,1.1780972450961724,1.1780972450961724,7068.583470577034,planned,"CG, , 2.564, 28.5891, 0, 0.25, , -1"
50,0.34,M3,1.7819000000000003,1.8447693243329912,11068.615945997946,planned,"M3, 2.564, 30.371, 0.4789"
51,0.35,M3,0.00730000000000075,0.007518643494674478,45.11186096804686,acceptable_slow,"M3, 2.564, 30.3783, 0.4771"
52,0.36,M3,0.007400000000000517,0.007550496672405574,45.302980034433446,acceptable_slow,"M3, 2.564, 30.3857, 0.4756"
53,0.37,M3,0.007500000000000284,0.007595393340703583,45.5723600442215,acceptable_slow,"M3, 2.564, 30.3932, 0.4744"
54,0.38,M3,0.006702984409946153,0.0067631353675629766,40.57881220537786,acceptable_slow,"M3, 2.5642, 30.3999, 0.4735"
55,0.39,M3,0.006706713054845021,0.006733498347815096,40.40099008689058,acceptable_slow,"M3, 2.5645, 30.4066, 0.4729"
56,0.4,M3,0.006726812023535491,0.006733498347811605,40.40099008686963,acceptable_slow,"M3, 2.5651, 30.4133, 0.4726"
57,0.41,M3,0.006760177512464315,0.006763135367566454,40.57881220539873,acceptable_slow,"M3, 2.566, 30.42, 0.4724"
58,0.42,CG,0.9106220397107152,0.9106220397107152,5463.7322382642915,planned,"CG, , 2.7515, 30.5807, 0.1856, -0.0268, , 1"
59,0.43,M3,2.4749999999999996,2.4749999999999996,14849.999999999998,planned,"M3, 5.2265, 30.5807, 0.4724"
60,0.44,CG,1.0189057216768653,1.0189057216768653,6113.434330061192,planned,"CG, , 5.3674, 30.517, 0, -0.1875, , 1"
61,0.45,M3,0.0627086118487729,0.06270861184877291,376.2516710926375,planned,"M3, 5.4088, 30.4699, 0.4724"
